2016-01-25 13:11:29,147 : INFO : categ=Yelp, ftype=LIWC, index=9, rmse=0.1073728683, corr=0.2204760353, pval=0.0000000000, mse=0.0115289328, mae=0.0807619506, likelihood=-12.5623224041, basehood=-12.1842422525
2016-01-25 13:11:57,286 : INFO : categ=Yelp, ftype=INQUIRER, index=9, rmse=0.1074452556, corr=0.2314788196, pval=0.0000000000, mse=0.0115444829, mae=0.0804467121, likelihood=-12.5618286974, basehood=-12.1842422525
2016-01-25 13:12:09,372 : INFO : categ=Yelp, ftype=GALC, index=9, rmse=0.1097653003, corr=0.1071178552, pval=0.0000000000, mse=0.0120484211, mae=0.0818550727, likelihood=-12.5802636871, basehood=-12.1842422525
2016-01-25 13:12:10,331 : INFO : categ=Yelp, ftype=ConfAll, index=9, rmse=0.1086374507, corr=0.1918537428, pval=0.0000000000, mse=0.0118020957, mae=0.0813370418, likelihood=-12.5703897131, basehood=-12.1842422525
2016-01-25 13:12:21,345 : INFO : categ=Yelp, ftype=STR, index=10, rmse=0.1085537470, corr=0.0848394767, pval=0.0000000000, mse=0.0117839160, mae=0.0819495094, likelihood=-12.6459003908, basehood=-12.2522828072
2016-01-25 13:12:35,402 : INFO : categ=Yelp, ftype=TOPICS_64, index=10, rmse=0.1057625357, corr=0.2346882438, pval=0.0000000000, mse=0.0111857140, mae=0.0798773995, likelihood=-12.6241813174, basehood=-12.2522828072
2016-01-25 13:14:51,226 : INFO : categ=Yelp, ftype=TFIDF, index=10, rmse=0.1092417921, corr=0.2763406723, pval=0.0000000000, mse=0.0119337691, mae=0.0835257103, likelihood=-12.6576428379, basehood=-12.2522828072
2016-01-25 13:15:05,306 : INFO : categ=Yelp, ftype=LIWC, index=10, rmse=0.1054945366, corr=0.2374527570, pval=0.0000000000, mse=0.0111290973, mae=0.0798134226, likelihood=-12.6224208001, basehood=-12.2522828072
2016-01-25 13:15:33,335 : INFO : categ=Yelp, ftype=INQUIRER, index=10, rmse=0.1059779953, corr=0.2286976179, pval=0.0000000000, mse=0.0112313355, mae=0.0800232849, likelihood=-12.6264231710, basehood=-12.2522828072
2016-01-25 13:15:45,245 : INFO : categ=Yelp, ftype=GALC, index=10, rmse=0.1083129163, corr=0.1062974665, pval=0.0000000000, mse=0.0117316878, mae=0.0815963578, likelihood=-12.6456625924, basehood=-12.2522828072
