2016-01-20 11:04:08,408 : INFO : categ=Home_and_Kitchen, ftype=JointSemantic, index=39, rmse=0.2332412084, rho=0.3181616280, pval=0.0000000000, mse=0.0544014613, mae=0.1517631586
2016-01-20 11:06:19,337 : INFO : categ=Home_and_Kitchen, ftype=JointSemantic, index=40, rmse=0.2357390034, rho=0.3231545640, pval=0.0000000000, mse=0.0555728777, mae=0.1516932434
2016-01-20 11:08:19,637 : INFO : categ=Home_and_Kitchen, ftype=JointSemantic, index=41, rmse=0.2384475407, rho=0.3182464347, pval=0.0000000000, mse=0.0568572297, mae=0.1547610880
2016-01-20 11:10:20,018 : INFO : categ=Home_and_Kitchen, ftype=JointSemantic, index=42, rmse=0.2317907499, rho=0.3092462558, pval=0.0000000000, mse=0.0537269517, mae=0.1514861138
2016-01-20 11:12:19,550 : INFO : categ=Home_and_Kitchen, ftype=JointSemantic, index=43, rmse=0.2335673689, rho=0.3154974758, pval=0.0000000000, mse=0.0545537158, mae=0.1517668712
2016-01-20 11:14:18,673 : INFO : categ=Home_and_Kitchen, ftype=JointSemantic, index=44, rmse=0.2359068559, rho=0.3255104652, pval=0.0000000000, mse=0.0556520446, mae=0.1536210281
2016-01-20 11:16:19,891 : INFO : categ=Home_and_Kitchen, ftype=JointSemantic, index=45, rmse=0.2359369094, rho=0.3136582348, pval=0.0000000000, mse=0.0556662252, mae=0.1523646560
2016-01-20 11:18:20,486 : INFO : categ=Home_and_Kitchen, ftype=JointSemantic, index=46, rmse=0.2369049999, rho=0.3198383982, pval=0.0000000000, mse=0.0561239790, mae=0.1528564813
2016-01-20 11:20:19,383 : INFO : categ=Home_and_Kitchen, ftype=JointSemantic, index=47, rmse=0.2344472422, rho=0.3422222583, pval=0.0000000000, mse=0.0549655094, mae=0.1524172010
2016-01-20 11:22:19,274 : INFO : categ=Home_and_Kitchen, ftype=JointSemantic, index=48, rmse=0.2330338530, rho=0.3089963779, pval=0.0000000000, mse=0.0543047766, mae=0.1514546499
2016-01-20 11:24:19,446 : INFO : categ=Home_and_Kitchen, ftype=JointSemantic, index=49, rmse=0.2388064333, rho=0.3125399675, pval=0.0000000000, mse=0.0570285126, mae=0.1544951922
2016-01-20 11:25:34,749 : INFO : categ=Sports_and_Outdoors, ftype=JointAll, index=0, rmse=0.2771142393, rho=0.2387712103, pval=0.0000000000, mse=0.0767923016, mae=0.1890020016
2016-01-20 11:26:52,308 : INFO : categ=Sports_and_Outdoors, ftype=JointAll, index=1, rmse=0.2690329669, rho=0.2307997487, pval=0.0000000000, mse=0.0723787373, mae=0.1848596551
2016-01-20 11:28:17,018 : INFO : categ=Sports_and_Outdoors, ftype=JointAll, index=2, rmse=0.2634951962, rho=0.2400526929, pval=0.0000000000, mse=0.0694297184, mae=0.1792682689
2016-01-20 11:29:42,088 : INFO : categ=Sports_and_Outdoors, ftype=JointAll, index=3, rmse=0.2614416627, rho=0.2448762858, pval=0.0000000000, mse=0.0683517430, mae=0.1788797785
2016-01-20 11:31:06,724 : INFO : categ=Sports_and_Outdoors, ftype=JointAll, index=4, rmse=0.2775952559, rho=0.2426138105, pval=0.0000000000, mse=0.0770591261, mae=0.1882466627
2016-01-20 11:32:31,562 : INFO : categ=Sports_and_Outdoors, ftype=JointAll, index=5, rmse=0.2696025231, rho=0.2428402287, pval=0.0000000000, mse=0.0726855205, mae=0.1832099733
2016-01-20 11:33:55,672 : INFO : categ=Sports_and_Outdoors, ftype=JointAll, index=6, rmse=0.2740858630, rho=0.2259157479, pval=0.0000000000, mse=0.0751230603, mae=0.1867083267
2016-01-20 11:35:18,749 : INFO : categ=Sports_and_Outdoors, ftype=JointAll, index=7, rmse=0.2756798734, rho=0.2176659708, pval=0.0000000000, mse=0.0759993926, mae=0.1886648070
2016-01-20 11:36:41,136 : INFO : categ=Sports_and_Outdoors, ftype=JointAll, index=8, rmse=0.2725190790, rho=0.2902799668, pval=0.0000000000, mse=0.0742666484, mae=0.1888020840
